name,latitude,longitude,free_bikes
208.名鉄協商パーキング太閤第12,35.166589,136.878612,1
058.金山駅南駅前広場ステーション,35.142331,136.900594,1
429.TENAS泉,35.175191,136.915203,0
104.ファミリーマート葵店,35.170937,136.920249,0
190.名鉄協商パーキング熱田神宮北,35.128727,136.908447,1
423.ネオ笹島ビル,35.166954,136.887255,0
079.エディオン名古屋本店,35.163562,136.890869,5
389.アーバニア志賀公園,35.203918,136.906647,3
254.ファミリーマート都通二丁目店,35.174831,136.936866,0
511.千代田2丁目,35.158616,136.9131,6
418.名鉄協商パーキング陽明町1丁目,35.137433,136.946638,4
307.名鉄協商パーキング吹上公園,35.15898,136.932918,0
162.名鉄協商パーキング新栄第２,35.16552,136.917535,0
043.グランルージュ栄2,35.16311,136.913056,0
526.瑞穂郵便局,35.125144,136.934112,2
501.昭和郵便局,35.14056,136.933509,3
540.名鉄協商パーキング大曽根駅前,35.190288,136.936239,0
230. CreCer（クレセール）,35.148896,136.884327,1
465.ファミリーマート昭和鶴舞二丁目店,35.152157,136.916643,3
522.名鉄協商パーキング清住町第３,35.162501,136.969073,1
238.ファミリーマート今池南店,35.164412,136.936575,2
504.メイクス新栄,35.164868,136.91851,0
026.名鉄協商パーキング納屋橋,35.167399,136.891131,5
464.第2名古屋三交ビル,35.173078,136.88817,6
109.ファミリーマート岩塚本通五丁目店,35.157846,136.842945,5
362.プレイランドキャッスル尾頭橋店,35.144376,136.893348,0
220.ファミリーマート千種天満通店,35.179525,136.955591,0
294.名鉄協商パーキング亀の井3丁目,35.163018,137.002282,7
527.中川郵便局,35.140651,136.861513,13
124.名鉄協商パーキング白川公園,35.165423,136.898113,8
502.愛知東邦大学,35.170631,136.987182,2
077.グランメール城西,35.182883,136.893885,3
448.大須観音,35.159761,136.898534,5
142.ＤＰスクエア錦,35.170365,136.893986,2
312.KOMA-HILLS 東山公園,35.163636,136.97191,3
416.RAKU SPA GARDEN 名古屋,35.178445,136.978997,2
248.カーサナカムラ,35.172806,136.85932,2
235.ファミリーマート城西病院前店,35.159109,136.864731,8
039.納屋橋ゆめ広場,35.166138,136.89223,2
291.Felice（フェリーチェ）,35.184061,136.863799,0
422.笈瀬川自転車駐車場,35.174968,136.880084,4
201.第三ミヤチビルディング,35.15752,136.909958,0
268.アーバンネット名古屋ビル,35.173355,136.910131,13
496.中村郵便局,35.166483,136.863743,0
523.フォレシティ桜山,35.137462,136.930897,1
388.アーバンラフレ志賀,35.204446,136.914247,0
121.ファミリーマート柳原二丁目店,35.191195,136.908134,1
096.ファミリーマート南武平町店,35.163715,136.91096,2
406.名鉄協商パーキング一社駅北第2,35.170088,136.996938,1
053.名鉄協商パーキング金山西,35.145419,136.896408,0
500.名東郵便局,35.166385,137.005754,2
319.カレント新栄,35.168589,136.918396,2
529.名古屋北郵便局,35.203329,136.92363,5
368.テルッツォ赤坂,35.182148,136.95882,1
224.ファミリーマート名西稲生店,35.209847,136.898568,0
345.名鉄協商パーキング十王町第2,35.179756,136.869997,1
470.三洋堂書店いりなか店,35.142959,136.955,2
210.サンモール菊井,35.180106,136.886733,0
450.名古屋工業大学北門,35.159253,136.924402,3
276.イオンタウン千種(1)(2),35.161541,136.923512,0
074.St.Regis IZUMI (セントレジス泉）,35.177253,136.910716,1
054.Ｒ＆Ｂホテル名古屋駅前,35.16636,136.887,1
538.PALET.NU,35.15004,136.87915,1
528.名古屋西郵便局,35.188666,136.883384,0
138.相鉄フレッサイン名古屋駅新幹線口,35.167547,136.879824,0
072.名鉄協商パーキング栄5丁目南,35.16256,136.914532,1
216.JR大曽根駅（南改札）,35.188959,136.936734,5
375.名鉄協商パーキング筒井3丁目第4,35.175623,136.929609,4
323.名鉄協商パーキング上社駅南第2,35.173638,137.008742,2
221.ファミリーマート名古屋西高校前店,35.189597,136.883336,0
024.名鉄協商パーキング神宮前駅東街区立体駐車場,35.125854,136.913644,0
160.名駅東ビル,35.171655,136.891745,1
407.JR尾頭橋駅,35.14697,136.890978,0
013.名鉄協商パーキング名駅4丁目第8,35.169291,136.888481,4
481.ラウンドテラス伏見,35.168776,136.893985,2
211.TENAS丸の内,35.177613,136.89906,0
037.名鉄協商パーキング大須MultinaBox駐輪場,35.160691,136.905421,4
441.矢場町,35.162667,136.90704,5
115.ファミリーマート城西二丁目店,35.184569,136.893505,0
585.メイクス名駅太閤,35.162895,136.879672,1
278.タウンライフ本郷駅前,35.176061,137.015739,9
451.名古屋工業大学正門,35.156489,136.923447,8
372.iiＮＥ ＭＡＲＳＨＥ,35.127352,136.92436,0
267.ファミリーマート名古屋東大曽根店,35.186117,136.936664,1
521.太閤一丁目,35.166424,136.880672,0
209.名鉄交通ビル,35.155204,136.891753,2
014.名鉄協商パーキング名駅3丁目PB,35.174423,136.88603,3
420.六番町南自転車駐車場,35.123334,136.888138,0
269.グローバルゲート,35.16155,136.882457,4
580.名鉄協商パーキング高畑駅北第２,35.142984,136.85142,1
169.名鉄協商パーキング城西4丁目第6,35.191454,136.892431,0
272.ファミリーマート千成通店,35.16334,136.86731,3
353.ヨシヅヤYストア笹塚食品館,35.199789,136.883109,2
413.名鉄協商パーキング児玉2丁目第3,35.194539,136.885717,0
316.ヨシヅヤ名古屋名西店,35.190027,136.877471,2
550.愛知学院大学 楠元キャンパス,35.167655,136.962055,3
246.キャッスルタウン記念橋,35.151266,136.90848,0
543.名鉄協商パーキング神宮前北,35.126985,136.911023,0
007. 名鉄協商パーキング  かこまち,35.160884,136.891448,0
033.名鉄協商パーキング新栄1丁目第15,35.165035,136.919557,0
285.錦2丁目ポート長島町通第２,35.169818,136.899759,6
304.NTTコミュニケーションズ代官町ビル,35.174412,136.924261,0
129.新栄第7ロイヤルマンション,35.164312,136.9185,0
356.車道駅ステーション（東側）,35.17286,136.930753,2
161.扇港電機,35.165312,136.864981,0
587.名鉄協商パーキング石川橋,35.14036,136.944985,5
265.徳川園,35.18551,136.933086,2
567.若鳩ハイツ,35.176787,136.867578,5
068.金山駅東口,35.142426,136.902294,3
562.ガーデンビル城下,35.194666,136.970578,1
114.則武新町立体駐車場前,35.181193,136.880191,0
191.東横INN 名古屋金山,35.146424,136.89776,1
432.千種東住宅,35.177985,136.948668,1
417.プレイランドキャッスル上社店,35.174317,137.009497,4
571.桧ケ根公園 西側入口(長久手市中央図書館 入口)前,35.181544,137.038988,2
482.中部電力パワーグリッド中村営業所,35.167963,136.862336,3
147.名鉄協商パーキング東桜第2,35.173935,136.918587,0
120.ファミリーマート名古屋千代田店,35.153325,136.911482,0
382.UR日比野,35.131934,136.891409,6
181.hostel nico,35.156937,136.903523,0
390.アーバンラフレ鳩岡,35.206884,136.912818,12
360.ドコモショップ千代田橋店,35.185767,136.969478,3
575.八事駅前,35.137696,136.963403,2
329.マルハン茶屋が坂店,35.183931,136.961993,9
454.COLLECT MARK 金山（1）,35.142625,136.90288,4
445.住吉通,35.166748,136.903581,4
112.サンプラザ金山,35.146467,136.900576,1
016.名鉄協商パーキング栄Ｍ,35.165929,136.910029,5
173.天王崎橋上流右岸広場ステーション,35.166151,136.891872,1
564.名鉄協商パーキング金屋1丁目,35.203339,136.950535,3
403.コート・サイド杁中,35.143955,136.954246,2
119.ファミリーマート那古野南店,35.17497,136.887116,3
133.愛知韓国人会館,35.17823,136.876331,3
492.星が丘元町,35.161148,136.983014,6
097.ファミリーマート金山五丁目店,35.144183,136.906696,1
189.ファミリーマート東外堀町店,35.178692,136.909857,1
395.ファミリーマート瑞穂通二丁目店,35.134154,136.933868,5
555.EsTRUTH Plus NORTH-NAGOYA,35.193044,136.924533,0
560.名鉄協商パーキング六番町第６,35.126014,136.888496,5
557.名古屋市西区役所,35.188897,136.890234,0
447.久屋大通パーク南,35.171972,136.908727,5
299.NTT笹島ビル,35.175875,136.883808,9
029.SAKUMACHI商店街（尼ケ坂駅）,35.187878,136.918944,0
435.名鉄協商パーキング東別院北第1,35.152638,136.902834,0
570.長久手市杁ケ池体育館　入口前,35.167769,137.033855,3
